书名,作者,价格,豆瓣评分,一句话书评,信息查阅
追风筝的人,[美] 卡勒德·胡赛尼 , 29.00元,8.9,为你，千千万万遍,https://book.douban.com/subject/1770782/
解忧杂货店,[日] 东野圭吾 , 39.50元,8.5,一碗精心熬制的东野牌鸡汤，拒绝很难,https://book.douban.com/subject/25862578/
小王子,[法] 圣埃克苏佩里 , 22.00元,9.0,献给长成了大人的孩子们,https://book.douban.com/subject/1084336/
白夜行,[日] 东野圭吾 , 29.80元,9.1,暗夜独行的残破灵魂，爱与恶本就难分难舍,https://book.douban.com/subject/3259440/
围城,钱锺书 , 19.00,8.9,对于“人艰不拆”四个字最彻底的违抗,https://book.douban.com/subject/1008145/
三体,刘慈欣 , 23.00,8.8,你我不过都是虫子,https://book.douban.com/subject/2567698/
嫌疑人X的献身,[日] 东野圭吾 , 28.00,8.9,数学好是一种极致的浪漫,https://book.douban.com/subject/3211779/
挪威的森林,[日] 村上春树 , 18.80元,8.0,村上之发轫，多少人的青春启蒙,https://book.douban.com/subject/1046265/
活着,余华 , 20.00元,9.3,生的苦难与伟大,https://book.douban.com/subject/4913064/
百年孤独,[哥伦比亚] 加西亚·马尔克斯 , 39.50元,9.2,尼采所谓的永劫复归，一场无始无终的梦魇,https://book.douban.com/subject/6082808/
红楼梦,[清] 曹雪芹 著 , 59.70元,9.6,谁解其中味？,https://book.douban.com/subject/1007305/
看见,柴静 , 39.80元,8.8,在这里看见中国,https://book.douban.com/subject/20427187/
不能承受的生命之轻,[捷克] 米兰·昆德拉 , 23.00元,8.5,朝向媚俗的一次伟大的进军,https://book.douban.com/subject/1017143/
平凡的世界（全三部）,路遥 , 64.00元,9.0,中国当代城乡生活全景,https://book.douban.com/subject/1200840/
三体Ⅱ,刘慈欣 , 32.00,9.3,无边的黑暗森林，比第一部更为恢弘壮丽,https://book.douban.com/subject/3066477/
三体Ⅲ,刘慈欣 , 38.00元,9.2,终章，何去何从,https://book.douban.com/subject/5363767/
达·芬奇密码,[美] 丹·布朗 , 28.00元,8.2,一切畅销的因素都有了,https://book.douban.com/subject/1040771/
我们仨,杨绛 , 18.80元,8.7,平淡，坚忍，温情,https://book.douban.com/subject/1023045/
简爱（英文全本）,[英] 夏洛蒂·勃朗特 , 18.00元,8.5,灰姑娘在十九世纪,https://book.douban.com/subject/1141406/
天才在左 疯子在右,高铭 , 29.80元,8.2,简称“疯癫与文明”,https://book.douban.com/subject/4242172/
哈利·波特与魔法石,[英] J. K. 罗琳 , 19.50元,9.0,羽加迪姆勒维奥萨！,https://book.douban.com/subject/1041007/
傲慢与偏见,[英] 奥斯丁 , 13.00元,8.8,所有现代言情小说的母体,https://book.douban.com/subject/1083428/
明朝那些事儿（壹）,当年明月 , 24.80,8.7,历史本就是一件件“事儿”拼成的,https://book.douban.com/subject/1873231/
目送,龙应台 , 39.00元,8.7,不必追,https://book.douban.com/subject/3995526/
飘,[美国] 玛格丽特·米切尔 , 40.00元,9.3,革命时期的爱情，随风而逝,https://book.douban.com/subject/1068920/
恶意,[日] 东野圭吾 , 18.00,8.4,无缘由的恨，冰冷彻骨,https://book.douban.com/subject/3646172/
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯 , 39.50元,9.0,义无反顾地直达爱情的核心,https://book.douban.com/subject/10594787/
倾城之恋,花城出版社 , 11.00,8.5,一段姻缘，需要一座城的倾覆来成全,https://book.douban.com/subject/1090043/
撒哈拉的故事,三毛 , 160 TWD,9.0,关于漂泊的一切,https://book.douban.com/subject/1361264/
边城,沈从文 , 12.00元,8.6,如水一般的忧愁与怅惘,https://book.douban.com/subject/1057244/
送你一颗子弹,刘瑜 , 25.00元,8.6,犀利又温柔，穿过胸口隐隐作痛,https://book.douban.com/subject/4238362/
许三观卖血记,余华 , 16.80元,8.7,余华的悲凉，都在那一碗炒猪肝里了,https://book.douban.com/subject/1029791/
哈利·波特与阿兹卡班的囚徒,[英] J. K. 罗琳 , 26.50元,8.9,小天狼星布莱克,https://book.douban.com/subject/1071241/
狼图腾,姜戎 , 32.00元,8.2,我们都是 狼的传人？,https://book.douban.com/subject/1022060/
情人,[法] 玛格丽特·杜拉斯 , 20.00元,8.1,我已经老了，你呢？,https://book.douban.com/subject/1400705/
哈利·波特与火焰杯,[英] J. K. 罗琳 , 39.80元,9.0,整个系列的分水岭，暗色渐浓,https://book.douban.com/subject/1009257/
哈利·波特与密室,[英] J. K. 罗琳 , 22.00元,8.9,渐入佳境，魔法世界全貌初现,https://book.douban.com/subject/1039487/
穆斯林的葬礼,霍达 , 32.00,8.2,时代烙印鲜明的民族史诗,https://book.douban.com/subject/1082334/
万历十五年,[美] 黄仁宇 , 18.00元,8.9,见微知著，历史观的颠覆,https://book.douban.com/subject/1041482/
盗墓笔记,南派三叔 , 26.80元,8.3,想象奇诡的大型RPG游戏,https://book.douban.com/subject/1948901/
窗边的小豆豆,[日] 黑柳彻子 著 , 20.00元,8.7,真正懂孩子的教育经,https://book.douban.com/subject/1007914/
1Q84 BOOK 1,[日] 村上春树 , 36.00元,8.3,村上的野望，欢迎来到1Q84年,https://book.douban.com/subject/4742918/
人间失格,太宰治 , 16.00元,8.3,令人无从怜悯的绝望,https://book.douban.com/subject/4011670/
黄金时代,王小波 , 19.00元,8.8,能把性爱写得如此坦荡的，大概只有王二了,https://book.douban.com/subject/1089243/
哈利·波特与混血王子,[英] J. K. 罗琳 , 58.00元,8.8,感情线纷乱的一部。再见邓布利多,https://book.douban.com/subject/1432596/
老人与海,海明威 , 8.20元,8.3,正是悲壮赋予生活以意义,https://book.douban.com/subject/1064275/
向左走·向右走,幾米 , 16.00元,8.4,两条平行线相遇的可能,https://book.douban.com/subject/1066462/
1984,[英] 乔治·奥威尔 , 28.00,9.3,栗树荫下，我出卖你，你出卖我,https://book.douban.com/subject/4820710/
三国演义（全二册）,[明] 罗贯中 , 39.50元,9.2,是非成败转头空,https://book.douban.com/subject/1019568/
人类简史,[以色列] 尤瓦尔·赫拉利 , CNY 68.00,9.1,跟着人类一同走过十万年,https://book.douban.com/subject/25985021/
哈利·波特与凤凰社,[英] J. K. 罗琳 , 59.00元,8.7,暴脾气的哈利,https://book.douban.com/subject/1013129/
苏菲的世界,（挪威）乔斯坦·贾德 , 26.80元,8.5,最平易近人的哲学入门,https://book.douban.com/subject/1045818/
悟空传,今何在 , 14.80元,8.4,猴子还是那个猴子，世界早已不是原来的世界,https://book.douban.com/subject/1003000/
牧羊少年奇幻之旅,[巴西]保罗·柯艾略 , 25.00元,8.6,你自己就是最大的宝藏,https://book.douban.com/subject/3608208/
莲花,安妮宝贝 , 25.00元,8.0,三个生命的交逢，灵魅清冷,https://book.douban.com/subject/1529893/
天龙八部,金庸 , 96.0,9.1,“有情皆孽，无人不冤”,https://book.douban.com/subject/1255625/
哈利·波特与死亡圣器,[英] J. K. 罗琳 , 66.00元,9.0,,https://book.douban.com/subject/2295163/
呼啸山庄,（英）勃朗特 , 27.30元,8.4,近乎暴虐的爱与恨，中文译名后无来者,https://book.douban.com/subject/1119522/
亲爱的安德烈,龙应台 , 26.00,8.7,龙应台母子对话，两代人的思想碰撞,https://book.douban.com/subject/3369793/
无声告白,[美] 伍绮诗 , 35.00元,8.2,莉迪亚死了，可他们还不知道,https://book.douban.com/subject/26382433/
基督山伯爵,大仲马 , 43.90元,9.0,完美的复仇，金庸用法语写作应该就是这样,https://book.douban.com/subject/1085860/
灿烂千阳,[美] 卡勒德·胡赛尼 , 28.00元,8.8,唯有希望与爱可以驱散阴霾,https://book.douban.com/subject/2143732/
鲁滨逊漂流记,[英] 笛福 , 9.20元,8.0,最早的荒野求生,https://book.douban.com/subject/1016003/
海边的卡夫卡,[日] 村上春树 , 25.00元,8.1,背负诅咒的少年，平行世界中的奥德赛,https://book.douban.com/subject/1059419/
白鹿原,陈忠实 , 28.00元,8.7,中国乡村史诗,https://book.douban.com/subject/1085799/
兄弟（上）,余华 , 16.00元,8.3,历史苦难中的个人灾变,https://book.douban.com/subject/1401425/
笑傲江湖（全四册）,金庸 , 76.80元,9.0,武侠的壳，政治斗争的核,https://book.douban.com/subject/1002299/
茶花女,小仲马 , 9.00元,8.2,妓女应当拥有爱情吗？,https://book.douban.com/subject/1013380/
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔 ,68.00元,9.2,侦探小说鼻祖,https://book.douban.com/subject/1040211/
一个陌生女人的来信,[奥] 斯台芬·茨威格 , 20.00元,8.7,暗恋的极致,https://book.douban.com/subject/2154960/
少有人走的路,[美] M·斯科特·派克 , 26.00元,8.4,成熟的心智通向更完善的自我,https://book.douban.com/subject/1775691/
房思琪的初恋乐园,林奕含 , 45.00元,9.2,以血书写的文学,https://book.douban.com/subject/27614904/
沉默的大多数,王小波 , 27.00元,9.1,沉默是沉默者的通行证,https://book.douban.com/subject/1054685/
局外人,[法] 阿尔贝·加缪 , 22.00元,9.0,人生在世，永远也不该演戏作假,https://book.douban.com/subject/4908885/
骆驼祥子,老舍 , 12.00,8.3,如骆驼喘息般深刻的绝望,https://book.douban.com/subject/1043815/
情书,[日] 岩井俊二 , 18.00元,8.6,一场误会中的两段爱情，东方式的含蓄隐忍,https://book.douban.com/subject/1080370/
民主的细节,刘瑜 , 25.00,8.6,公民养成手册,https://book.douban.com/subject/3813669/
东方快车谋杀案,[英] 阿加莎·克里斯蒂 , 18.00元,9.0,谋杀诡计惊人，波洛的抉择耐人寻味,https://book.douban.com/subject/1827374/
神雕侠侣,金庸 , 76.80元,8.8,至情至性，情大于武,https://book.douban.com/subject/1255624/
了不起的盖茨比,菲茨杰拉德 , 12.00元,8.3,梦，就像黛西家的那一缕绿光,https://book.douban.com/subject/1008988/
遇见未知的自己,张德芬 , 29.00,8.0,都市灵修速成,https://book.douban.com/subject/2340100/
无人生还,[英] 阿加莎・克里斯蒂 , 19.00,8.9,童谣杀人案,https://book.douban.com/subject/3006581/
肖申克的救赎,[美] 斯蒂芬·金 , 29.90元,9.1,希望让人自由，电影实在太有名,https://book.douban.com/subject/1829226/
巴黎圣母院,[法]雨果 , 22.50元,8.3,潜藏于残缺下的美与崇高,https://book.douban.com/subject/1024197/
羊脂球,（法）莫泊桑 , 13.50元,8.1,资产阶级的道貌岸然,https://book.douban.com/subject/1205370/
呐喊,鲁迅 , 0.36元,8.9,新文学的第一声呐喊,https://book.douban.com/subject/1449351/
当我谈跑步时我谈些什么,[日] 村上春树 , 25.00,8.1,村上同志告诉我们，身体是革命的本钱,https://book.douban.com/subject/3369600/
乌合之众,（法）勒庞 , 16.00元,8.2,群氓心理剖析,https://book.douban.com/subject/1012611/
动物农场,[英] 乔治·奥威尔 , 10.00元,9.2,太阳底下并无新事,https://book.douban.com/subject/2035179/
爱你就像爱生命,王小波 , 18.00元,8.8,王小波与李银河的两地书,https://book.douban.com/subject/3071717/
红玫瑰与白玫瑰,张爱玲 , 12.80元,8.4,蚊子血还是饭黏子？,https://book.douban.com/subject/1014278/
安徒生童话故事集,（丹麦）安徒生 , 25.00,9.2,远不是童话那么简单,https://book.douban.com/subject/1046209/
巨人的陨落,[英] 肯·福莱特 , 129.80元,8.9,五个家族，一场战争,https://book.douban.com/subject/26698660/
这些都是你给我的爱,文：安东尼 , 24.80元,8.4,只言片语的温暖,https://book.douban.com/subject/4714734/
鬼吹灯之精绝古城,天下霸唱 , 25.00元,8.1,盗墓祖师名不虚传,https://book.douban.com/subject/1882933/
这些人，那些事,吴念真 , 28.00元,8.8,平淡叙述下的惊心动魄,https://book.douban.com/subject/6388661/
华胥引（全二册）,唐七公子 , 39.80元,8.4,现实不如梦中的圆满,https://book.douban.com/subject/5916880/
喜宝,亦舒 , 22.00元,8.0,爱情才是终极的奢侈品,https://book.douban.com/subject/2022979/
陪安东尼度过漫长岁月,安东尼 , 18.00,8.3,真正的片段式写作,https://book.douban.com/subject/3014576/
半生缘,张爱玲 , 28.00元,8.6,世钧，我们回不去了,https://book.douban.com/subject/1963684/
阿Q正传,鲁迅 , 14.50元,8.7,哀其不幸，怒其不争,https://book.douban.com/subject/1088065/
城南旧事,林海音 文 , 16.00元,9.0,长亭外，古道边，芳草碧连天,https://book.douban.com/subject/1254588/
射雕英雄传（全四册）,金庸 , 47.00元,8.9,侠之大者，为国为民,https://book.douban.com/subject/1044547/
一个人的朝圣,【英】蕾秋·乔伊斯 , 32.80,8.1,关于爱和信念的旅行,https://book.douban.com/subject/24934182/
我不喜欢这世界，我只喜欢你,乔一 , 29.80元,8.0,一想到能和你共度余生，我就对余生充满期待,https://book.douban.com/subject/26414020/
梦里花落知多少,三毛 , 28.00元,8.8,哀而不伤,https://book.douban.com/subject/2070844/
如何阅读一本书,[美] 莫提默·J. 艾德勒 , 38.00元,8.4,读书的方法论,https://book.douban.com/subject/1013208/
一只特立独行的猪,王小波 , 18.80元,8.8,生活就是个缓慢受锤的过程，至少还可以特立独行,https://book.douban.com/subject/1767945/
月亮与六便士,[英] 威廉·萨默塞特·毛姆 , 39.80元,8.8,,https://book.douban.com/subject/26954760/
地下铁,幾米 , 32.00元,8.3,黑暗世界中的点滴亮光,https://book.douban.com/subject/1056733/
格林童话全集,格林兄弟 , 21.45元,9.0,许多隐晦,https://book.douban.com/subject/1043008/
孩子你慢慢来,龙应台 , 28.00元,8.8,我们现在怎样做母亲,https://book.douban.com/subject/4207781/
月亮忘記了,幾米 , NT$ 299,8.6,月明星稀的晚上，看不见的，看见了,https://book.douban.com/subject/1358873/
孤独六讲,蒋勋 , 36.00元,8.1,作为一种美学的孤独,https://book.douban.com/subject/4124727/
此间的少年,江南 , 25.00元,8.4,象牙塔里的金庸群侠,https://book.douban.com/subject/1020459/
刀锋,[英]毛姆 , 18.00元,9.0,一把刀的锋刃不容易越过；因此智者说得救之道是困难的,https://book.douban.com/subject/2035162/
朝花夕拾,鲁迅 , 0.25元,8.7,鲁迅的旧事重提,https://book.douban.com/subject/1449352/
步步惊心,桐华 , 25.00元,8.1,现世太苦，不如穿越回去从头来过,https://book.douban.com/subject/1812439/
麦琪的礼物,[美] 欧·亨利 , 25.00元,8.6,日常的奇迹,https://book.douban.com/subject/1051193/
尘埃落定,阿来 , 22.0,8.4,一个傻子的土司家族传奇,https://book.douban.com/subject/1080309/
一個人住第5年,高木直子 , NT$220,8.4,独居生活之乐,https://book.douban.com/subject/1346815/
荆棘鸟,[澳] 考琳·麦卡洛 , 28.00元,8.6,澳洲乱世情,https://book.douban.com/subject/1086249/
菊与刀,（美）鲁思・本尼迪克特 , 16.00,8.2,复杂矛盾的日本民族,https://book.douban.com/subject/1022238/
杀死一只知更鸟,[美] 哈珀·李 , 32.00元,9.2,有一种东西不能遵循从众原则，那就是——人的良心,https://book.douban.com/subject/6781808/
哭泣的骆驼,三毛 , 15.80元,8.9,沙漠中寻常的生与死,https://book.douban.com/subject/1029111/
那些回不去的年少时光,桐华 , 23.80元,8.5,所有你曾热爱却正在遗忘的人和事,https://book.douban.com/subject/4231381/
常识,梁文道 , 38.00,8.1,献给这个常识稀缺的时代,https://book.douban.com/subject/3344676/
寻路中国,[美] 彼得·海斯勒 , 33.00元,9.0,中国在路上，非虚构写作所能达到的高度,https://book.douban.com/subject/5414391/
球状闪电,刘慈欣 , 22.00元,8.7,量子之外，没有真相,https://book.douban.com/subject/1192090/
金锁记,张爱玲 , 13.5元,8.5,曹七巧就像希克厉，一个扭曲的英雄,https://book.douban.com/subject/3017857/
你好，旧时光（上 下）,八月长安 , 39.80元,8.8,原作名切题,https://book.douban.com/subject/4166819/
查令十字街84号,[美] 海莲·汉芙 , 18.00元,8.3,文艺青年的爱情地标,https://book.douban.com/subject/1316648/
悲惨世界（上中下）,[法] 雨果 , 66.00元,8.9,现实主义与浪漫主义的至高杰作,https://book.douban.com/subject/1205054/
时间旅行者的妻子,[美] 奥德丽·尼芬格 , 29.90元,8.1,在时间的缝隙中穿行，然后相遇,https://book.douban.com/subject/2056749/
海底两万里,[法国] 儒尔·凡尔纳 , 19.50元,8.4,你听说过鹦鹉螺号吗？,https://book.douban.com/subject/1085470/
海贼王,尾田荣一郎 , 7.50元,9.5,热血，梦想，希望,https://book.douban.com/subject/1474773/
史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森 , 68.00元,8.7,完美主义者的最高形态,https://book.douban.com/subject/6798611/
鹿鼎记（全五册）,金庸 , 108.00元,8.8,武侠的解构，流氓的狂欢,https://book.douban.com/subject/1212893/
失恋33天,鲍鲸鲸 , 25.00元,8.1,失恋是一种病，痊愈之后百毒不侵,https://book.douban.com/subject/4238754/
飞鸟集,[印] 罗宾德拉纳德·泰戈尔 , 16.80元,8.9,淡泊，超脱,https://book.douban.com/subject/1058661/
你今天真好看,[美]莉兹•克里莫 , 39.00元,8.7,呆萌可爱的动物段子手,https://book.douban.com/subject/26602392/
东霓,笛安 , 26.80元,8.1,自毁而偏执的东霓,https://book.douban.com/subject/4874131/
长恨歌,王安忆 , 22.00元,8.2,现代上海史诗,https://book.douban.com/subject/1082349/
富爸爸，穷爸爸,（美）罗伯特・T・清崎 , 18.80,8.2,人穷穷观念，人富钱生钱,https://book.douban.com/subject/1033778/
你一定爱读的极简欧洲史,约翰·赫斯特（John Hirst） , 25.00元,8.2,欧洲，为什么老是抢第一？,https://book.douban.com/subject/5366248/
倚天屠龙记(共四册),金庸 , 0,8.6,不识张郎是张郎,https://book.douban.com/subject/1070851/
流浪地球,刘慈欣 , 28.00元,8.6,,https://book.douban.com/subject/3266609/
水浒传（全二册）,[明] 施耐庵 , 50.60元,8.5,风风火火闯九州,https://book.douban.com/subject/1008357/
历史深处的忧虑,林达 , 19.00元,9.0,窥见美国社会的一扇窗,https://book.douban.com/subject/1027191/
雷雨,曹禺 , 9.20,8.6,人的心都靠不住，我并不是说人坏，我就是恨人性太弱，太容易变了,https://book.douban.com/subject/1013416/
伊豆的舞女,[日] 川端康成 , 23.80元,8.2,静美又残酷，无限柔软的川端,https://book.douban.com/subject/1005521/
西游记（全二册）,吴承恩 , 47.20元,8.8,取经之路就在脚下,https://book.douban.com/subject/1029553/
时间简史,[英] 史蒂芬·霍金 , 45.00元,8.8,霍金与上帝的战争,https://book.douban.com/subject/1034282/
大地之灯,七堇年 , 22.00元,8.2,两代人的成长与救赎,https://book.douban.com/subject/1963310/
瓦尔登湖,[美] 梭罗 , 11.00元,8.4,另一种生活,https://book.douban.com/subject/1865089/
最好的我们,八月长安 , 55,8.8,耿耿余淮,https://book.douban.com/subject/24754316/
狂人日记,鲁迅 , 39.80元,8.7,中国现代文学史上第一篇真正的现代白话小说,https://book.douban.com/subject/1398395/
中国历代政治得失,钱穆 , 12.00元,9.1,一部简明的“中国政治制度史”,https://book.douban.com/subject/1003479/
一九八四·动物农场,[英] 乔治·奥威尔 , 23.00元,9.3,一个预言和一个寓言，令人窒息的政治恐怖,https://book.douban.com/subject/1082387/
红与黑,斯丹达尔 , 20.00元,8.2,阴谋与爱情,https://book.douban.com/subject/1007433/
香水,[德] 帕·聚斯金德 , 20.00元,8.5,恋味癖谋杀案,https://book.douban.com/subject/1292416/
橙,安东尼 , 28.80元,8.2,定做一个刻着“不过如此”的章，盖在封面上,https://book.douban.com/subject/5327697/
匆匆那年（上下）,九夜茴 , 29.00,8.3,不悔梦归处 只恨太匆匆,https://book.douban.com/subject/2567919/
影响力,[美] 罗伯特·西奥迪尼 , 45.00元,8.6,营销防骗指南,https://book.douban.com/subject/1786387/
看不见的城市,[意大利]伊塔洛·卡尔维诺 , 16.00元,8.8,每一座城市都只在想象中耸立，又在描述中坍圮,https://book.douban.com/subject/1863930/
陆犯焉识,严歌苓 , 35.00元,8.8,翻手为苍凉，覆手为繁华,https://book.douban.com/subject/6880158/
世界尽头与冷酷仙境,[日] 村上春树 , 23.00元,8.6,交叉平行蒙太奇,https://book.douban.com/subject/1291809/
我与地坛,史铁生 , 25.00元,9.0,这是你的罪孽与福祉,https://book.douban.com/subject/1209899/
夏洛的网,[美] E.B.怀特 , 17.00元,8.5,猪与蜘蛛,https://book.douban.com/subject/1036274/
江城,[美] 彼得·海斯勒 , 36.00元,9.0,外国人的寻路中国,https://book.douban.com/subject/7060185/
冰与火之歌（卷一）,[美] 乔治·R. R. 马丁 , 68.00元,9.3,凛冬将至。无比宏大的世界观,https://book.douban.com/subject/1336330/
呼兰河传,萧红 , 19.00,8.9,萧红的童年往事,https://book.douban.com/subject/1060852/
把时间当作朋友,李笑来 , 32.00元,8.5,反成功学的成功学,https://book.douban.com/subject/3609132/
那些年，我们一起追的女孩,九把刀 , 20.00元,8.2,那些年错过的大雨,https://book.douban.com/subject/1958227/
自控力,[美]  凯利·麦格尼格尔 , 39.80元,8.3,要么瘦，要么死,https://book.douban.com/subject/10786473/
阿狸·梦之城堡,hans , 36.80元,9.0,治愈,https://book.douban.com/subject/3554154/
往事并不如烟,章诒和 , 35.00元,8.6,知识分子的命运浮沉,https://book.douban.com/subject/1059336/
七夜雪,沧月 , 25.00元,8.4,抵不过时间,https://book.douban.com/subject/1919201/
天使与魔鬼,[美] 丹.布朗 , 29.80元,8.1,科学与宗教的大乱斗,https://book.douban.com/subject/1228110/
变形记,[奥] 卡夫卡 , 16.00元,8.4,格里高里清早醒来发现自己变成了甲虫,https://book.douban.com/subject/1213546/
ZOO,[日] 乙一 , 20.00元,8.6,噩梦中的一丝温度,https://book.douban.com/subject/2297697/
人生,路遥 , 20.00元,8.4,如果你是高加林，你要如何选择？,https://book.douban.com/subject/3803820/
蔷薇岛屿,安妮宝贝 , 18.00元,8.0,你们不会彼此遗忘。只会彼此消失,https://book.douban.com/subject/1063190/
国境以南 太阳以西,[日] 村上春树 , 13.50元,8.3,灾星下出生的恋人们,https://book.douban.com/subject/1015452/
人性的弱点全集,[美] 戴尔·卡耐基 , 25.00元,8.3,西方世界最持久的人文畅销书,https://book.douban.com/subject/1056295/
最初的爱情 最后的仪式,[英] 伊恩·麦克尤恩 , 22.00元,8.0,别被封面骗了,https://book.douban.com/subject/4011440/
我的天才女友,[意] 埃莱娜·费兰特 , 42.00元,8.5,,https://book.douban.com/subject/26878124/
京华烟云,林语堂 , 43.00元,8.5,林语堂的《红楼梦》,https://book.douban.com/subject/1391191/
没有色彩的多崎作和他的巡礼之年,[日] 村上春树 , 39.50元,8.2,并不是一切都消失在了时间的长河里,https://book.douban.com/subject/25733470/
文学回忆录（全2册）,木心 讲述 , 98.00元,9.2,木心留给世界的礼物,https://book.douban.com/subject/20440644/
一句顶一万句,刘震云 , 29.80,8.7,一句胜过千年,https://book.douban.com/subject/3633461/
生活在别处,[捷克] 米兰·昆德拉 , 25.00元,8.4,此处的生活唯有残酷,https://book.douban.com/subject/1013225/
未来简史,[以色列] 尤瓦尔·赫拉利 , 68.00元,8.4,,https://book.douban.com/subject/26943161/
心是孤独的猎手,[美] 卡森·麦卡勒斯 , 25.00元,8.5,镇上有两个哑巴，他们总是在一起。,https://book.douban.com/subject/1424741/
尼罗河上的惨案,[英] 阿加莎·克里斯蒂 , 22.00元,8.7,阿婆代表作之一,https://book.douban.com/subject/1818347/
设计中的设计,[日] 原研哉 , 48.00元,8.6,日常生活的无限可能性,https://book.douban.com/subject/1941558/
佛祖在一号线,李海鹏 , 25.00元,8.2,嬉笑怒骂的常识分子,https://book.douban.com/subject/4872671/
