,代码,名称,最新,市盈率,市净率,所属行业,流通市值,营业总收入同比,营业总收入,营业利润,每股收益,流动资产,利润总额,每股净资产,归属净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,流动资产1,固定资产,无形资产,资产负债比率,公积金,总负债,流动负债,长期负债,每股公积金,归属净利润,总市值
0,600000,浦发银行,10.05,5.12,0.69,1,2824亿,1.31,1271亿,509亿,1.47,0,509亿,14.49,3.14,1285亿,4.38,0,6.09万亿,0,254亿,98.1亿,92.41,818亿,5.63万亿,0,0,2.79,432亿,2950亿
1,600001,邯郸钢铁,----,----,----,2,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
2,600002,齐鲁石化,----,----,----,2,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
3,600003,ST东北高,----,----,----,3,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
4,600004,白云机场,9.77,16.51,1.29,4,202亿,17.99,58.0亿,12.5亿,0.44,48.1亿,12.5亿,7.59,-21.93,60.4亿,2.92,28.56,279亿,48.1亿,214亿,5.60亿,43.35,66.7亿,121亿,70.7亿,50.4亿,3.22,9.19亿,202亿
5,600005,武钢股份,----,75.85,1.3,5,374亿,-12.34,429亿,5.43亿,0.04,391亿,5.68亿,2.85,0,41.9亿,0.42,7.75,967亿,391亿,459亿,8.31亿,69.91,99.3亿,676亿,540亿,136亿,0.98,3.70亿,374亿
6,600006,东风汽车,3.78,13.7,1.08,6,75.6亿,-28.88,92.4亿,3.85亿,0.21,127亿,3.74亿,3.51,258.73,36.2亿,1.81,11.37,172亿,127亿,15.7亿,4.38亿,57.32,6.15亿,98.6亿,94.0亿,4.55亿,0.31,4.14亿,75.6亿
7,600007,中国国贸,13.38,17.14,2,7,135亿,17.29,23.4亿,8.22亿,0.59,13.3亿,7.87亿,6.69,23.63,33.5亿,3.33,53.13,114亿,13.3亿,20.0亿,5.30亿,40.84,18.7亿,46.5亿,24.1亿,22.4亿,1.86,5.90亿,135亿
8,600008,首创股份,3.51,34.87,1.8,8,169亿,20.46,76.1亿,7.62亿,0.08,139亿,7.61亿,1.95,1.44,19.4亿,0.34,32.86,636亿,139亿,64.8亿,195亿,70.17,12.5亿,446亿,184亿,262亿,0.53,4.29亿,200亿
9,600009,上海机场,49.1,22.59,3.48,4,537亿,14.84,69.0亿,41.7亿,1.63,100亿,41.7亿,14.09,16.66,213亿,11.08,51.7,299亿,100亿,85.6亿,3.39亿,7.48,25.8亿,22.3亿,22.3亿,858万,1.34,31.4亿,946亿
10,600010,包钢股份,1.53,22.7,1.35,5,485亿,38.37,483亿,30.3亿,0.05,440亿,30.2亿,1.14,63.8,32.5亿,0.07,16.13,1479亿,440亿,687亿,17.4亿,64.82,14.0亿,959亿,817亿,142亿,0.03,23.0亿,697亿
11,600011,华能国际,6.97,41.26,1.48,9,732亿,13.08,1260亿,40.8亿,0.13,535亿,39.9亿,4.71,-29.33,316亿,2.02,12.5,3819亿,535亿,2416亿,139亿,74.25,148亿,2836亿,1291亿,1544亿,1.12,19.9亿,1094亿
12,600012,皖通高速,5.75,8.4,0.97,3,67.0亿,4.73,22.5亿,11.8亿,0.51,27.1亿,11.8亿,5.94,3.12,69.8亿,4.21,57.13,145亿,27.1亿,8.41亿,100亿,28.61,2.81亿,41.6亿,14.0亿,27.6亿,0.17,8.52亿,95.4亿
13,600015,华夏银行,7.46,4.94,0.59,1,957亿,1.07,506亿,192亿,1.13,0,192亿,12.55,2.01,761亿,5.93,0,2.61万亿,0,134亿,8100万,93.02,266亿,2.43万亿,0,0,2.08,145亿,957亿
14,600016,民生银行,5.77,4.44,0.63,1,2046亿,8.93,1157亿,519亿,0.97,0,515亿,9.17,6.07,1911亿,4.36,0,5.97万亿,0,440亿,48.9亿,92.92,576亿,5.54万亿,0,0,1.31,427亿,2526亿
15,600017,日照港,2.9,12.42,0.8,10,89.2亿,9.39,38.4亿,7.93亿,0.18,30.6亿,7.93亿,3.62,60.14,44.7亿,1.45,29.3,212亿,30.6亿,99.1亿,35.8亿,41.47,29.8亿,87.8亿,44.4亿,43.5亿,0.97,5.39亿,89.2亿
16,600018,上港集团,5.31,18.06,1.76,10,1231亿,3.44,261亿,74.2亿,0.22,552亿,74.4亿,3.02,7.26,326亿,1.41,28.36,1521亿,552亿,320亿,148亿,49.2,77.7亿,748亿,355亿,394亿,0.34,51.1亿,1231亿
17,600019,宝钢股份,6.74,7.15,0.88,5,1490亿,1.03,2256亿,218亿,0.71,1341亿,216亿,7.68,34.96,703亿,3.16,15.55,3499亿,1341亿,1517亿,123亿,47.6,494亿,1665亿,1537亿,129亿,2.22,157亿,1501亿
18,600020,中原高速,3.71,6.39,0.83,3,83.4亿,-7.72,41.1亿,12.6亿,0.44,30.3亿,12.6亿,4.44,-9.93,44.3亿,1.97,55.12,489亿,30.3亿,174亿,218亿,76.03,17.6亿,372亿,92.2亿,280亿,0.78,9.79亿,83.4亿
19,600021,上海电力,8.25,22.69,1.56,9,70.6亿,12.99,165亿,16.8亿,0.27,119亿,17.5亿,5.28,29.16,46.1亿,1.76,20.84,883亿,119亿,519亿,30.9亿,76.64,66.0亿,677亿,318亿,359亿,2.52,7.14亿,216亿
20,600022,山东钢铁,1.63,5.53,0.87,5,178亿,14.97,405亿,29.7亿,0.22,253亿,29.3亿,1.87,125.42,5.92亿,0.05,11.97,677亿,253亿,262亿,45.7亿,56.57,82.0亿,383亿,298亿,84.9亿,0.75,24.2亿,178亿
21,600023,浙能电力,4.59,12.47,1.01,9,624亿,14.51,430亿,47.9亿,0.28,231亿,47.5亿,4.54,0.36,188亿,1.38,10.4,1108亿,231亿,541亿,21.1亿,36.97,241亿,410亿,156亿,253亿,1.77,37.5亿,624亿
22,600025,华能水电,3.3,19.84,1.46,9,59.4亿,24.24,113亿,31.8亿,0.12,65.4亿,28.1亿,2.26,39.09,32.3亿,0.18,53.06,1684亿,65.4亿,1257亿,63.9亿,74.83,189亿,1260亿,397亿,864亿,1.05,22.4亿,594亿
23,600026,中远海能,4.84,-54.55,0.7,10,132亿,13.97,82.9亿,-1599万,-0.07,78.2亿,-1044万,6.93,-121.51,130亿,3.23,10.73,633亿,78.2亿,481亿,7625万,54.15,76.0亿,343亿,94.9亿,248亿,1.88,-2.68亿,195亿
24,600027,华电国际,4.5,21.82,1.03,9,315亿,10.71,643亿,26.8亿,0.15,250亿,26.5亿,4.38,742.7,168亿,1.71,12.63,2180亿,250亿,1362亿,137亿,71.22,132亿,1553亿,656亿,897亿,1.34,15.3亿,444亿
25,600028,中国石化,5.35,8.1,0.9,11,5112亿,18.8,2.07万亿,973亿,0.5,6119亿,967亿,5.97,56.31,2818亿,2.33,18.15,1.66万亿,6119亿,6079亿,994亿,48.11,1195亿,8000亿,6206亿,1795亿,0.99,600亿,6477亿
26,600029,南方航空,7.35,16.2,1.36,4,516亿,13.27,1089亿,59.1亿,0.34,322亿,63.9亿,5.4,-40.78,254亿,2.07,13.55,2489亿,322亿,1674亿,32.6亿,68.02,256亿,1693亿,860亿,833亿,2.09,41.8亿,902亿
27,600030,中信证券,16.97,21.08,1.35,12,1666亿,-4.53,272亿,96.1亿,0.6,0,96.4亿,12.61,-7.73,551亿,4.55,0,6141亿,0,77.9亿,32.7亿,74.54,544亿,4578亿,0,0,4.49,73.1亿,2056亿
28,600031,三一重工,8.19,9.8,2.13,13,635亿,45.88,411亿,64.5亿,0.63,483亿,61.4亿,3.84,170.9,188亿,2.41,31.16,697亿,483亿,120亿,39.4亿,55.1,18.3亿,384亿,295亿,89.5亿,0.24,48.8亿,638亿
29,600033,福建高速,3.09,10.48,0.95,3,84.8亿,6.67,19.7亿,10.5亿,0.22,14.7亿,10.6亿,3.27,2.87,36.3亿,1.32,65.37,174亿,14.7亿,146亿,6975,37.47,16.6亿,65.3亿,15.6亿,49.6亿,0.61,6.07亿,84.8亿
30,600035,楚天高速,3.16,8.34,0.87,3,47.1亿,20.81,22.0亿,6.46亿,0.28,16.7亿,6.47亿,3.63,1.61,22.5亿,1.3,39.71,108亿,16.7亿,5.87亿,71.7亿,41.65,13.6亿,44.8亿,21.9亿,22.9亿,0.78,4.91亿,54.6亿
31,600036,招商银行,26.46,7.43,1.36,1,5458亿,13.21,1882亿,885亿,2.67,0,886亿,19.49,14.58,2777亿,11.01,0,6.51万亿,0,532亿,105亿,91.87,675亿,5.98万亿,0,0,2.68,674亿,6673亿
32,600037,歌华有线,9.22,17.6,0.99,14,108亿,-0.69,18.0亿,5.47亿,0.39,95.4亿,5.49亿,9.28,-14.18,40.8亿,2.93,29.55,156亿,95.4亿,37.3亿,1.81亿,17.33,65.5亿,27.1亿,16.8亿,10.3亿,4.71,5.47亿,128亿
33,600038,中直股份,40.9,59.04,3.24,15,241亿,4.93,81.9亿,3.50亿,0.52,194亿,3.54亿,12.62,12.84,20.9亿,3.54,12.44,227亿,194亿,22.2亿,5.61亿,65.97,42.3亿,150亿,142亿,8.24亿,7.18,3.06亿,241亿
34,600039,四川路桥,3.4,16.69,0.93,16,118亿,14.5,246亿,7.18亿,0.15,360亿,6.93亿,3.67,26.86,57.9亿,1.6,8.9,781亿,360亿,23.4亿,275亿,81.16,29.9亿,633亿,309亿,324亿,0.83,5.52亿,123亿
