代码,名称,原总市值(亿),预测总市值(亿),市值差比率
600004,白云机场,202.0,231.53,14.62%
600006,东风汽车,75.6,93.69,23.93%
600007,中国国贸,135.0,157.62,16.76%
600008,首创股份,200.0,170.84,-14.58%
600009,上海机场,946.0,646.53,-31.66%
600010,包钢股份,697.0,527.3,-24.35%
600011,华能国际,1094.0,792.78,-27.53%
600012,皖通高速,95.4,67.4,-29.35%
600017,日照港,89.2,109.19,22.41%
600018,上港集团,1231.0,1218.95,-0.98%
600019,宝钢股份,1501.0,2082.08,38.71%
600020,中原高速,83.4,80.64,-3.31%
600021,上海电力,216.0,117.05,-45.81%
600022,山东钢铁,178.0,307.56,72.79%
600023,浙能电力,624.0,871.26,39.62%
600025,华能水电,594.0,326.82,-44.98%
600026,中远海能,195.0,158.21,-18.87%
600027,华电国际,444.0,421.49,-5.07%
600028,中国石化,6477.0,6516.15,0.60%
600029,南方航空,902.0,719.41,-20.24%
600031,三一重工,638.0,702.71,10.14%
600035,楚天高速,54.6,48.72,-10.77%
600037,歌华有线,128.0,144.29,12.73%
600038,中直股份,241.0,287.87,19.45%
600039,四川路桥,123.0,123.77,0.63%
600048,保利地产,1426.0,1438.46,0.87%
600050,中国联通,1663.0,1644.39,-1.12%
600051,宁波联合,17.8,-6.64,-137.30%
600052,浙江广厦,26.8,27.36,2.09%
600053,九鼎投资,98.4,148.88,51.30%
600054,黄山旅游,72.2,49.85,-30.96%
600055,万东医疗,54.6,62.25,14.01%
600056,中国医药,134.0,123.99,-7.47%
600057,厦门象屿,93.0,97.67,5.02%
600058,五矿发展,73.3,84.15,14.80%
600059,古越龙山,55.1,55.48,0.69%
600060,海信电器,113.0,116.98,3.52%
600061,国投资本,409.0,533.62,30.47%
600062,华润双鹤,122.0,114.6,-6.07%
600063,皖维高新,49.3,53.0,7.51%
600064,南京高科,96.9,63.76,-34.20%
600066,宇通客车,271.0,266.57,-1.63%
600067,冠城大通,55.7,59.82,7.40%
600068,葛洲坝,296.0,365.99,23.65%
600069,银鸽投资,50.3,54.35,8.05%
600070,浙江富润,35.2,18.95,-46.16%
600071,凤凰光学,19.6,35.57,81.48%
600072,中船科技,56.2,58.66,4.38%
600073,上海梅林,68.6,77.36,12.77%
600074,*ST保千,29.5,35.27,19.56%
600075,新疆天业,47.1,47.17,0.15%
600076,康欣新材,43.5,49.03,12.71%
600077,宋都股份,36.6,53.07,45.00%
600078,澄星股份,22.3,23.31,4.53%
600079,人福医药,126.0,149.42,18.59%
600080,金花股份,25.7,22.83,-11.17%
600081,东风科技,24.6,28.56,16.10%
600083,博信股份,38.6,75.29,95.05%
600084,中葡股份,34.3,38.73,12.92%
600085,同仁堂,370.0,350.66,-5.23%
600086,东方金钰,62.0,58.47,-5.69%
600089,特变电工,275.0,368.16,33.88%
600090,同济堂,79.6,68.24,-14.27%
600091,ST明科,17.1,8.2,-52.05%
600093,易见股份,91.3,111.03,21.61%
600094,大名城,92.6,133.13,43.77%
600095,哈高科,14.6,22.71,55.55%
600096,云天化,68.1,61.41,-9.82%
600097,开创国际,25.3,2.69,-89.37%
600098,广州发展,157.0,170.23,8.43%
600100,同方股份,300.0,338.01,12.67%
600101,明星电力,22.6,19.28,-14.69%
600103,青山纸业,49.1,38.11,-22.38%
600104,上汽集团,2941.0,3384.06,15.06%
600105,永鼎股份,64.7,62.53,-3.35%
600107,美尔雅,23.2,40.52,74.66%
600108,亚盛集团,52.8,48.37,-8.39%
600110,诺德股份,48.0,52.74,9.88%
600111,北方稀土,329.0,288.36,-12.35%
600112,天成控股,22.5,28.73,27.69%
600114,东睦股份,42.7,43.15,1.05%
600115,东方航空,735.0,720.71,-1.94%
600116,三峡水利,75.0,86.97,15.96%
600117,西宁特钢,36.1,38.43,6.45%
600118,中国卫星,227.0,245.53,8.16%
