最新,市盈率,市净率,所属行业,流通市值,营业总收入同比,营业总收入,营业利润,每股收益,流动资产,利润总额,每股净资产,归属净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,流动资产1,固定资产,无形资产,资产负债比率,公积金,总负债,流动负债,长期负债,每股公积金,归属净利润
9.77,16.51,1.29,4.0,202.0,17.99,58.0,12.5,0.44,48.1,12.5,7.59,-21.93,60.4,2.92,28.56,279.0,48.1,214.0,5.6,43.35,66.7,121.0,70.7,50.4,3.22,9.19
3.78,13.7,1.08,6.0,75.6,-28.88,92.4,3.85,0.21,127.0,3.74,3.51,258.73,36.2,1.81,11.37,172.0,127.0,15.7,4.38,57.32,6.15,98.6,94.0,4.55,0.31,4.14
13.38,17.14,2.0,7.0,135.0,17.29,23.4,8.22,0.59,13.3,7.87,6.69,23.63,33.5,3.33,53.13,114.0,13.3,20.0,5.3,40.84,18.7,46.5,24.1,22.4,1.86,5.9
3.51,34.87,1.8,8.0,169.0,20.46,76.1,7.62,0.08,139.0,7.61,1.95,1.44,19.4,0.34,32.86,636.0,139.0,64.8,195.0,70.17,12.5,446.0,184.0,262.0,0.53,4.29
49.1,22.59,3.48,4.0,537.0,14.84,69.0,41.7,1.63,100.0,41.7,14.09,16.66,213.0,11.08,51.7,299.0,100.0,85.6,3.39,7.48,25.8,22.3,22.3,0.0858,1.34,31.4
1.53,22.7,1.35,5.0,485.0,38.37,483.0,30.3,0.05,440.0,30.2,1.14,63.8,32.5,0.07,16.13,1479.0,440.0,687.0,17.4,64.82,14.0,959.0,817.0,142.0,0.03,23.0
6.97,41.26,1.48,9.0,732.0,13.08,1260.0,40.8,0.13,535.0,39.9,4.71,-29.33,316.0,2.02,12.5,3819.0,535.0,2416.0,139.0,74.25,148.0,2836.0,1291.0,1544.0,1.12,19.9
5.75,8.4,0.97,3.0,67.0,4.73,22.5,11.8,0.51,27.1,11.8,5.94,3.12,69.8,4.21,57.13,145.0,27.1,8.41,100.0,28.61,2.81,41.6,14.0,27.6,0.17,8.52
2.9,12.42,0.8,10.0,89.2,9.39,38.4,7.93,0.18,30.6,7.93,3.62,60.14,44.7,1.45,29.3,212.0,30.6,99.1,35.8,41.47,29.8,87.8,44.4,43.5,0.97,5.39
5.31,18.06,1.76,10.0,1231.0,3.44,261.0,74.2,0.22,552.0,74.4,3.02,7.26,326.0,1.41,28.36,1521.0,552.0,320.0,148.0,49.2,77.7,748.0,355.0,394.0,0.34,51.1
6.74,7.15,0.88,5.0,1490.0,1.03,2256.0,218.0,0.71,1341.0,216.0,7.68,34.96,703.0,3.16,15.55,3499.0,1341.0,1517.0,123.0,47.6,494.0,1665.0,1537.0,129.0,2.22,157.0
3.71,6.39,0.83,3.0,83.4,-7.72,41.1,12.6,0.44,30.3,12.6,4.44,-9.93,44.3,1.97,55.12,489.0,30.3,174.0,218.0,76.03,17.6,372.0,92.2,280.0,0.78,9.79
8.25,22.69,1.56,9.0,70.6,12.99,165.0,16.8,0.27,119.0,17.5,5.28,29.16,46.1,1.76,20.84,883.0,119.0,519.0,30.9,76.64,66.0,677.0,318.0,359.0,2.52,7.14
1.63,5.53,0.87,5.0,178.0,14.97,405.0,29.7,0.22,253.0,29.3,1.87,125.42,5.92,0.05,11.97,677.0,253.0,262.0,45.7,56.57,82.0,383.0,298.0,84.9,0.75,24.2
4.59,12.47,1.01,9.0,624.0,14.51,430.0,47.9,0.28,231.0,47.5,4.54,0.36,188.0,1.38,10.4,1108.0,231.0,541.0,21.1,36.97,241.0,410.0,156.0,253.0,1.77,37.5
3.3,19.84,1.46,9.0,59.4,24.24,113.0,31.8,0.12,65.4,28.1,2.26,39.09,32.3,0.18,53.06,1684.0,65.4,1257.0,63.9,74.83,189.0,1260.0,397.0,864.0,1.05,22.4
4.84,-54.55,0.7,10.0,132.0,13.97,82.9,-0.1599,-0.07,78.2,-0.1044,6.93,-121.51,130.0,3.23,10.73,633.0,78.2,481.0,0.7625,54.15,76.0,343.0,94.9,248.0,1.88,-2.68
4.5,21.82,1.03,9.0,315.0,10.71,643.0,26.8,0.15,250.0,26.5,4.38,742.7,168.0,1.71,12.63,2180.0,250.0,1362.0,137.0,71.22,132.0,1553.0,656.0,897.0,1.34,15.3
5.35,8.1,0.9,11.0,5112.0,18.8,20700.0,973.0,0.5,6119.0,967.0,5.97,56.31,2818.0,2.33,18.15,16600.0,6119.0,6079.0,994.0,48.11,1195.0,8000.0,6206.0,1795.0,0.99,600.0
7.35,16.2,1.36,4.0,516.0,13.27,1089.0,59.1,0.34,322.0,63.9,5.4,-40.78,254.0,2.07,13.55,2489.0,322.0,1674.0,32.6,68.02,256.0,1693.0,860.0,833.0,2.09,41.8
8.19,9.8,2.13,13.0,635.0,45.88,411.0,64.5,0.63,483.0,61.4,3.84,170.9,188.0,2.41,31.16,697.0,483.0,120.0,39.4,55.1,18.3,384.0,295.0,89.5,0.24,48.8
3.16,8.34,0.87,3.0,47.1,20.81,22.0,6.46,0.28,16.7,6.47,3.63,1.61,22.5,1.3,39.71,108.0,16.7,5.87,71.7,41.65,13.6,44.8,21.9,22.9,0.78,4.91
9.22,17.6,0.99,14.0,108.0,-0.69,18.0,5.47,0.39,95.4,5.49,9.28,-14.18,40.8,2.93,29.55,156.0,95.4,37.3,1.81,17.33,65.5,27.1,16.8,10.3,4.71,5.47
40.9,59.04,3.24,15.0,241.0,4.93,81.9,3.5,0.52,194.0,3.54,12.62,12.84,20.9,3.54,12.44,227.0,194.0,22.2,5.61,65.97,42.3,150.0,142.0,8.24,7.18,3.06
3.4,16.69,0.93,16.0,118.0,14.5,246.0,7.18,0.15,360.0,6.93,3.67,26.86,57.9,1.6,8.9,781.0,360.0,23.4,275.0,81.16,29.9,633.0,309.0,324.0,0.83,5.52
11.99,11.14,1.32,7.0,1411.0,25.67,950.0,180.0,0.81,7943.0,182.0,9.06,16.04,761.0,6.4,32.69,8570.0,7943.0,33.9,0.479,79.87,165.0,6845.0,4481.0,2365.0,1.38,96.0
5.36,35.95,1.19,17.0,1136.0,6.77,2197.0,107.0,0.11,897.0,105.0,4.49,164.5,330.0,1.06,26.99,5503.0,897.0,3398.0,258.0,42.72,794.0,2351.0,2136.0,214.0,2.56,34.7
5.73,16.61,0.77,18.0,17.8,-32.89,30.8,1.59,0.26,51.6,1.6,7.47,-22.04,13.6,4.38,12.93,71.6,51.6,6.38,0.9063,65.24,1.47,46.7,42.6,4.15,0.47,0.8045
3.07,18.56,1.1,7.0,26.8,153.58,5.02,1.01,0.12,55.0,1.01,2.78,170.57,8.1,0.93,17.01,69.6,55.0,0.0193,0.0012699999999999999,65.19,1.58,45.4,45.4,0.04,0.18,1.08
22.7,43.72,4.82,19.0,98.4,30.65,5.97,1.81,0.39,32.8,1.82,4.71,22.24,13.4,3.1,93.87,50.5,32.8,0.3925,0.0073,58.42,1.89,29.5,23.3,6.23,0.44,1.69
9.66,12.86,1.74,20.0,49.6,-9.64,11.9,5.85,0.56,21.5,5.84,5.57,22.95,23.1,3.1,57.13,48.0,21.5,16.8,1.85,10.25,5.02,4.92,3.83,1.09,0.67,4.21
10.1,46.34,2.87,21.0,49.0,15.7,6.2,1.01,0.16,13.3,1.01,3.52,40.03,4.33,0.8,44.46,23.3,13.3,1.88,0.4127,15.45,8.22,3.6,3.16,0.4331,1.52,0.884
12.5,8.08,1.59,22.0,127.0,2.71,222.0,17.6,1.16,207.0,18.7,7.85,23.08,46.2,4.32,22.01,256.0,207.0,17.2,2.93,60.85,20.3,156.0,135.0,20.9,1.9,12.4
4.31,8.52,0.98,23.0,92.1,18.49,1707.0,13.9,0.38,454.0,15.0,4.38,65.47,27.8,1.29,2.63,616.0,454.0,72.2,19.3,69.47,44.2,428.0,369.0,58.3,2.05,8.19
